;Barri;Habitacions;Lavabo;Metres;Preu;TipusImmoble
0;Sant Gervasi - Bonanova;4;2;140;2.050 €;Piso
1;Esquerra Alta de l´Eixample;3;2;81;1.225 €;Piso
2;Sant Gervasi - Galvany;2;2;143;2.200 €;Ático
3;Pedralbes;5;5;243;5.300 €;Piso
4;Tres Torres;5;4;300;3.900 €;Piso
5;Tres Torres;6;4;290;3.950 €;Dúplex
6;Putget - Farró;4;2;120;1.550 €;Piso
7;Tres Torres;2;2;100;1.600 €;Dúplex
8;Sant Gervasi - Galvany;;1;54;1.605 €;Piso
9;Pedralbes;4;4;235;3.300 €;Piso
10;Sant Gervasi - Galvany;5;4;170;3.400 €;Piso
11;Sant Gervasi - Galvany;2;3;140;2.200 €;Piso
12;Sant Antoni;2;2;70;1.350 €;Piso
13;Sant Gervasi - Bonanova;4;3;180;3.900 €;Casa
14;Dreta de l´Eixample;2;1;80;1.800 €;Apartamento
15;Sant Gervasi - Galvany;4;2;160;1.950 €;Piso
16;Barceloneta;;1;40;800 €;Piso
17;Poblenou;3;2;101;3.500 €;Apartamento
18;Esquerra Alta de l´Eixample;4;2;110;2.200 €;Apartamento
19;Pedralbes;5;3;191;4.000 €;Apartamento
20;Sant Gervasi - Galvany;2;1;65;1.150 €;Piso
21;Tres Torres;5;4;397;3.900 €;Apartamento
22;Esquerra Alta de l´Eixample;;1;75;1.950 €;Ático
23;Gòtic;;2;90;1.650 €;Piso
24;El Coll;3;2;135;1.600 €;Piso
25;Sant Gervasi - Bonanova;3;3;114;2.950 €;Piso
26;Vallcarca - Penitents;3;2;106;1.100 €;Piso
27;Dreta de l´Eixample;2;2;107;2.050 €;Apartamento
28;Sant Gervasi - Galvany;6;3;285;4.300 €;Apartamento
29;Sarrià;5;5;300;5.900 €;Dúplex
30;Poblenou;3;2;105;2.000 €;Piso
31;Pedralbes;3;2;129;2.200 €;Piso
32;Gòtic;;1;70;1.150 €;Apartamento
33;Sant Gervasi - Bonanova;2;2;101;2.489 €;Piso
34;Dreta de l´Eixample;2;2;64;1.150 €;Piso
35;Dreta de l´Eixample;5;2;160;2.150 €;Piso
36;Gòtic;3;2;149;2.200 €;Piso
37;Dreta de l´Eixample;;1;70;1.550 €;Ático
38;Sarrià;3;2;75;1.400 €;Piso
39;Dreta de l´Eixample;2;2;100;1.300 €;Piso
40;Esquerra Alta de l´Eixample;2;1;60;1.500 €;Apartamento
41;Sant Gervasi - Galvany;3;2;102;2.100 €;Piso
42;Sant Gervasi - Galvany;4;3;171;3.700 €;Apartamento
43;Esquerra Alta de l´Eixample;3;2;115;1.500 €;Piso
44;Sant Ramon - Maternitat;3;3;150;1.700 €;Casa
45;Sant Gervasi - Galvany;4;3;215;3.800 €;Piso
46;Dreta de l´Eixample;4;2;114;2.300 €;Piso
47;Sarrià;;1;80;1.850 €;Apartamento
48;Sant Gervasi - Galvany;2;1;60;1.350 €;Ático
49;Gòtic;2;1;75;1.100 €;Piso
50;Vila de Gràcia;5;3;392;3.200 €;Casa
51;Les Corts;5;5;217;5.540 €;Piso
52;Sant Gervasi - Galvany;;1;50;900 €;Piso
53;Tres Torres;2;2;189;2.850 €;Apartamento
54;Sant Gervasi - Galvany;4;5;320;8.500 €;Ático
55;Sarrià;5;4;214;3.600 €;Ático
56;Dreta de l´Eixample;3;2;160;2.650 €;Apartamento
57;Dreta de l´Eixample;2;2;105;2.600 €;Apartamento
58;Sants;2;1;70;1.050 €;Planta
59;Sant Gervasi - Galvany;5;2;180;2.300 €;Piso
60;Les Corts;3;2;77;1.450 €;Piso
61;Esquerra Baixa de l´Eixample;3;1;80;1.180 €;Piso
62;Gòtic;;1;50;1.300 €;Apartamento
63;Dreta de l´Eixample;4;2;196;2.700 €;Piso
64;Dreta de l´Eixample;;1;60;950 €;Loft
65;Sant Gervasi - Galvany;3;2;110;2.400 €;Piso
66;Gòtic;3;3;153;2.750 €;Apartamento
67;Esquerra Alta de l´Eixample;3;2;130;1.900 €;Piso
68;Sant Gervasi - Bonanova;4;2;130;2.050 €;Piso
69;Esquerra Alta de l´Eixample;2;2;100;2.375 €;Piso
70;Esquerra Alta de l´Eixample;;1;50;1.000 €;Piso
71;Sant Gervasi - Galvany;4;3;250;4.500 €;Apartamento
72;Barceloneta;;1;40;800 €;Piso
73;Dreta de l´Eixample;2;2;90;2.570 €;Piso
74;Sant Gervasi - Galvany;2;1;58;1.095 €;Piso
75;Esquerra Alta de l´Eixample;3;2;155;3.850 €;Apartamento
76;St. Pere - Sta. Caterina - El Born;;1;56;925 €;Piso
77;La Marina-Montjuïc;2;2;90;1.450 €;Piso
78;El Clot;;1;40;675 €;Piso
79;Gòtic;4;2;90;1.750 €;Apartamento
80;Vila de Gràcia;2;2;73;1.300 €;Ático
81;Dreta de l´Eixample;5;2;185;3.450 €;Apartamento
82;Dreta de l´Eixample;4;3;200;4.000 €;Ático
83;Sant Gervasi - Galvany;4;3;175;4.300 €;Apartamento
84;La Bordeta;4;2;148;2.600 €;Piso
85;Raval;;1;55;795 €;Piso
86;Gòtic;2;2;133;2.500 €;Piso
87;St. Pere - Sta. Caterina - El Born;;1;40;1.300 €;Loft
88;Sants;4;2;130;1.800 €;Apartamento
89;Turó de la Peira - Can Peguera;2;1;62;1.015 €;Piso
90;Sagrada Família;3;2;85;1.200 €;Piso
91;Dreta de l´Eixample;;1;77;1.200 €;Estudio
92;Camp d´en Grassot - Gràcia N.;;2;140;1.390 €;Piso
93;Gòtic;4;2;104;4.100 €;Ático
94;St. Pere - Sta. Caterina - El Born;2;1;60;1.000 €;Piso
95;Sant Ramon - Maternitat;2;1;70;1.350 €;Piso
96;Sant Gervasi - Galvany;4;2;120;1.650 €;Piso
97;Pedralbes;5;4;310;5.900 €;Ático
98;Sant Gervasi - Galvany;3;3;128;2.100 €;Piso
99;Dreta de l´Eixample;2;2;78;1.900 €;Piso
100;Les Corts;3;1;69;1.100 €;Piso
101;Gòtic;2;2;150;1.600 €;Apartamento
102;Vila de Gràcia;2;1;65;1.100 €;Piso
103;Dreta de l´Eixample;2;2;70;2.050 €;Piso
104;Sant Gervasi - Bonanova;4;2;108;1.350 €;Piso
105;Pedralbes;4;3;190;3.000 €;Piso
106;Tres Torres;;1;80;1.250 €;Piso
107;Vila de Gràcia;2;1;45;1.090 €;Piso
108;Sant Gervasi - Galvany;5;6;320;8.000 €;Ático
109;Dreta de l´Eixample;2;1;45;1.500 €;Apartamento
110;Diagonal Mar - La Mar Bella;2;1;80;1.150 €;Piso
111;Poble Sec;;1;45;975 €;Ático
112;El Clot;4;1;85;1.050 €;Piso
113;Esquerra Alta de l´Eixample;2;1;60;1.300 €;Piso
114;Dreta de l´Eixample;2;2;105;1.725 €;Apartamento
115;Sarrià;;1;66;1.100 €;Ático
116;Sant Antoni;3;1;60;1.300 €;Apartamento
117;Sant Gervasi - Galvany;2;1;85;3.000 €;Piso
118;Tres Torres;;1;50;900 €;Estudio
119;Vila de Gràcia;2;2;73;1.300 €;Piso
120;Putget - Farró;;1;70;1.200 €;Piso
121;Taxonera;2;1;50;900 €;Piso
122;Sant Gervasi - Bonanova;3;2;120;1.550 €;Piso
123;Les Corts;2;2;122;1.600 €;Piso
124;Sant Gervasi - Galvany;5;2;300;4.000 €;Piso
125;Dreta de l´Eixample;2;2;90;1.900 €;Piso
126;Sant Gervasi - Galvany;2;1;75;1.050 €;Piso
127;Esquerra Alta de l´Eixample;3;2;100;1.100 €;Ático
128;Poble Sec;4;4;130;2.500 €;Dúplex
129;La Marina-Port;4;2;123;3.500 €;Ático
130;Guinardó;3;1;100;950 €;Piso
131;Dreta de l´Eixample;2;3;70;2.300 €;Piso
132;Navas;4;2;100;1.250 €;Piso
133;Dreta de l´Eixample;2;1;60;1.250 €;Piso
134;Sants;2;1;60;850 €;Piso
135;Dreta de l´Eixample;3;2;104;4.000 €;Piso
136;Tres Torres;4;2;178;3.300 €;Piso
137;Sant Gervasi - Bonanova;2;1;65;1.150 €;Piso
138;Baix Guinardó;;1;85;800 €;Piso
139;Sarrià;7;8;415;7.700 €;Casa
140;Tres Torres;4;4;171;3.200 €;Piso
141;Raval;2;1;71;1.200 €;Piso
142;Raval;2;1;65;1.200 €;Piso
143;Sant Gervasi - Bonanova;2;1;70;1.250 €;Piso
144;Raval;2;2;74;2.600 €;Piso
145;Camp d´en Grassot - Gràcia N.;3;1;80;1.300 €;Apartamento
146;Vila Olímpica;2;2;130;3.000 €;Piso
147;Esquerra Baixa de l´Eixample;3;1;85;1.180 €;Piso
148;Vallcarca - Penitents;4;1;84;1.045 €;Piso
149;St. Pere - Sta. Caterina - El Born;2;1;190;3.800 €;Casa
150;Sant Gervasi - Galvany;3;3;187;2.700 €;Piso
151;St. Pere - Sta. Caterina - El Born;2;1;56;1.100 €;Piso
152;Sant Gervasi - Galvany;2;2;89;1.580 €;Piso
153;Sant Gervasi - Galvany;4;3;160;1.950 €;Ático
154;La Marina-Montjuïc;3;1;80;1.100 €;Piso
155;Congrés - Indians;4;1;99;1.150 €;Piso
156;Barceloneta;;1;70;2.500 €;Piso
157;Tres Torres;3;1;75;1.200 €;Piso
158;St. Pere - Sta. Caterina - El Born;;1;50;1.400 €;Loft
159;Les Corts;3;1;95;1.575 €;Apartamento
160;Gòtic;4;1;85;1.200 €;Piso
161;Dreta de l´Eixample;4;2;190;2.200 €;Piso
162;Poblenou;;1;50;1.200 €;Loft
163;Poblenou;;1;45;1.490 €;Ático
164;Dreta de l´Eixample;3;2;129;1.850 €;Piso
165;Sant Gervasi - Galvany;2;2;80;1.200 €;Piso
166;Tres Torres;2;1;92;1.600 €;Apartamento
167;Pedralbes;4;3;130;1.950 €;Piso
168;Raval;2;1;70;1.150 €;Piso
169;Sant Gervasi - Galvany;5;4;284;5.300 €;Piso
170;Raval;3;2;92;2.450 €;Piso
171;Esquerra Baixa de l´Eixample;2;1;147;1.600 €;Piso
172;Provençals del Poblenou;4;2;105;1.400 €;Piso
173;Les Corts;4;2;115;1.700 €;Ático
174;Sant Gervasi - Bonanova;3;2;150;2.600 €;Piso
175;Camp d´en Grassot - Gràcia N.;3;2;90;1.100 €;Piso
176;Esquerra Alta de l´Eixample;2;1;77;1.387 €;Piso
177;Gòtic;2;1;75;1.520 €;Apartamento
178;Gòtic;2;1;75;1.100 €;Piso
179;Poble Sec;2;1;60;1.000 €;Piso
180;Esquerra Alta de l´Eixample;;1;52;1.100 €;Apartamento
181;Tres Torres;4;3;177;3.300 €;Piso
182;Esquerra Baixa de l´Eixample;;1;55;1.150 €;Apartamento
183;Vila de Gràcia;2;1;60;2.400 €;Apartamento
184;Guinardó;3;1;90;790 €;Piso
185;Sant Gervasi - Bonanova;6;5;289;7.878 €;Ático
186;Sant Gervasi - Galvany;3;2;170;1.850 €;Piso
187;Sant Gervasi - Galvany;4;3;170;2.200 €;Piso
188;Sant Gervasi - Galvany;3;2;101;1.650 €;Piso
189;Gòtic;3;2;82;2.500 €;Piso
190;Pedralbes;9;0;1;14.000 €;Casa
191;St. Pere - Sta. Caterina - El Born;;1;50;1.250 €;Ático
192;Pedralbes;5;;156;2.900 €;Piso
193;Esquerra Baixa de l´Eixample;3;2;105;1.250 €;Piso
194;Esquerra Alta de l´Eixample;3;2;103;1.600 €;Piso
195;Sant Gervasi - Bonanova;3;2;285;4.500 €;Ático
196;Guinardó;3;2;73;1.040 €;Piso
197;Sant Gervasi - Bonanova;3;2;80;1.400 €;Piso
198;Horta;4;1;120;2.200 €;Piso
199;Sant Antoni;;1;56;1.100 €;Piso
200;Esquerra Alta de l´Eixample;4;2;145;3.500 €;Ático
201;Esquerra Alta de l´Eixample;3;2;120;1.650 €;Piso
202;Sant Gervasi - Galvany;;1;66;1.150 €;Piso
203;Sant Gervasi - Bonanova;2;2;135;2.000 €;Piso
204;Vila de Gràcia;3;2;100;1.450 €;Piso
205;Sant Gervasi - Galvany;2;1;70;2.000 €;Piso
206;Dreta de l´Eixample;2;2;118;2.300 €;Piso
207;Dreta de l´Eixample;3;2;104;3.500 €;Piso
208;Sant Gervasi - Galvany;3;2;117;1.800 €;Piso
209;Esquerra Baixa de l´Eixample;2;2;75;1.150 €;Piso
210;Sant Gervasi - Bonanova;3;2;90;1.200 €;Apartamento
211;Raval;2;2;69;2.450 €;Piso
212;Raval;3;2;90;2.550 €;Piso
213;St. Pere - Sta. Caterina - El Born;2;2;60;1.700 €;Apartamento
214;Esquerra Alta de l´Eixample;4;2;90;1.500 €;Piso
215;Esquerra Alta de l´Eixample;3;2;100;2.600 €;Apartamento
216;Sant Antoni;5;2;115;1.500 €;Piso
217;Les Corts;4;3;200;2.500 €;Piso
218;Camp d´en Grassot - Gràcia N.;;1;51;2.000 €;Piso
219;Raval;;1;50;1.100 €;Apartamento
220;Raval;;1;50;950 €;Piso
221;St. Pere - Sta. Caterina - El Born;3;2;80;1.550 €;Apartamento
222;Putget - Farró;2;2;102;1.350 €;Piso
223;Raval;3;2;92;2.400 €;Piso
224;Gòtic;3;4;205;3.500 €;Piso
225;Dreta de l´Eixample;3;2;104;3.500 €;Piso
226;Camp d´en Grassot - Gràcia N.;3;2;90;1.325 €;Piso
227;Gòtic;;1;45;1.800 €;Ático
228;Sagrada Família;4;2;95;1.150 €;Piso
229;Les Corts;2;2;75;975 €;Piso
230;Sant Gervasi - Bonanova;2;2;93;3.352 €;Piso
231;Dreta de l´Eixample;;1;70;1.312 €;Apartamento
232;Sant Gervasi - Galvany;2;2;105;2.800 €;Piso
233;Sants;4;2;105;1.350 €;Piso
234;Gòtic;2;2;115;2.200 €;Piso
235;Gòtic;2;2;114;1.950 €;Apartamento
236;Putget - Farró;2;2;71;1.550 €;Piso
237;Guinardó;2;1;60;1.155 €;Piso
238;Sant Gervasi - Galvany;2;1;85;2.500 €;Piso
239;Dreta de l´Eixample;4;2;158;2.650 €;Piso
240;Dreta de l´Eixample;4;2;110;1.550 €;Piso
241;Gòtic;;1;75;1.450 €;Apartamento
242;Vila de Gràcia;;2;136;1.450 €;Dúplex
243;Dreta de l´Eixample;2;2;70;2.070 €;Piso
244;Sarrià;4;4;200;4.000 €;Piso
245;Esquerra Alta de l´Eixample;3;3;109;3.200 €;Piso
246;Les Corts;3;2;90;1.350 €;Piso
247;Carmel;3;2;119;1.470 €;Ático
248;Gòtic;3;2;129;2.100 €;Apartamento
249;Esquerra Alta de l´Eixample;;1;62;951 €;Ático
250;Camp de l´Arpa;3;1;90;1.650 €;Piso
251;Dreta de l´Eixample;;1;60;1.715 €;Piso
252;Sant Gervasi - Galvany;3;3;152;2.190 €;Piso
253;Sarrià;3;2;96;1.425 €;Piso
254;Sarrià;5;3;210;3.600 €;Apartamento
255;Esquerra Baixa de l´Eixample;3;2;129;1.600 €;Piso
256;Sant Gervasi - Galvany;2;1;85;2.500 €;Piso
257;Dreta de l´Eixample;2;2;145;8.000 €;Piso
258;Sarrià;6;;400;7.000 €;Casa
259;Raval;2;2;69;2.400 €;Piso
260;Raval;3;2;100;1.355 €;Piso
261;Tres Torres;5;4;185;2.700 €;Piso
262;Sants;3;2;125;1.250 €;Piso
263;Turó de la Peira - Can Peguera;2;2;64;1.200 €;Piso
264;Diagonal Mar - La Mar Bella;;1;74;1.450 €;Piso
265;La Bordeta;2;2;84;1.600 €;Piso
266;Gòtic;4;2;130;2.000 €;Apartamento
267;Raval;;1;45;750 €;Piso
268;Badal;2;1;50;890 €;Piso
269;Dreta de l´Eixample;3;2;120;3.500 €;Apartamento
270;Besòs - Maresme;3;1;65;1.200 €;Piso
271;Les Corts;2;2;100;1.600 €;Piso
272;Vila de Gràcia;2;1;85;1.650 €;Piso
273;Tres Torres;5;5;338;3.900 €;Ático
274;Sant Genís dels Agudells;3;1;103;1.100 €;Piso
275;Esquerra Alta de l´Eixample;4;3;130;2.000 €;Apartamento
276;Gòtic;3;1;109;1.500 €;Piso
277;La Bordeta;4;1;85;990 €;Piso
278;Sant Gervasi - Galvany;3;2;80;975 €;Piso
279;Sant Gervasi - Galvany;;2;75;1.950 €;Apartamento
280;Pedralbes;5;4;280;5.000 €;Piso
281;Esquerra Baixa de l´Eixample;3;1;80;1.180 €;Piso
282;Raval;2;1;60;1.550 €;Apartamento
283;Esquerra Alta de l´Eixample;3;2;91;1.400 €;Piso
284;St. Pere - Sta. Caterina - El Born;2;1;60;1.300 €;Loft
285;Dreta de l´Eixample;2;1;70;1.900 €;Piso
286;Poble Sec;2;2;104;1.140 €;Piso
287;Putget - Farró;2;1;70;1.190 €;Piso
288;St. Pere - Sta. Caterina - El Born;;1;31;775 €;Piso
289;Bon Pastor;3;2;90;1.400 €;Piso
290;Raval;2;2;74;2.700 €;Piso
291;Putget - Farró;4;2;120;1.550 €;Piso
292;Sagrada Família;2;1;80;1.400 €;Apartamento
293;Pedralbes;;1;65;1.650 €;Apartamento
294;Camp d´en Grassot - Gràcia N.;2;1;64;1.200 €;Planta
295;Guinardó;3;2;73;990 €;Piso
296;Gòtic;2;2;120;1.800 €;Piso
297;Putget - Farró;4;2;112;1.750 €;Piso
298;Dreta de l´Eixample;5;3;180;2.000 €;Piso
299;Baix Guinardó;5;4;241;2.750 €;Casa
300;Dreta de l´Eixample;3;2;130;2.500 €;Apartamento
301;Barceloneta;;1;40;850 €;Apartamento
302;Dreta de l´Eixample;;1;65;1.200 €;Piso
303;Dreta de l´Eixample;3;2;119;2.300 €;Apartamento
304;La Salut;5;2;120;1.650 €;Piso
305;Gòtic;2;1;70;1.600 €;Piso
306;Fort Pienc;3;1;79;1.350 €;Ático
307;Sant Gervasi - Galvany;3;3;200;4.500 €;Piso
